#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
2472	HD 8389       	5224	 4.31	 0.41	  0.18	-5.02	 2.8	 1.8	 2.1	  36.0	336	 0.01	 0.02	 4	 0.43	01 23 02.6	-12 57 58	 7.85	 30.51	-0.20	 0.03	 0.97	 0.04	  0.69	  0.10	 0.91	 4.43	 0.04	10.1	  1	Simbad
2473	HD 8375       	5207	 3.66	 0.02	  0.19	-4.94	 3.7	 0.8	 3.5	   7.8	268	 0.01	 0.01	 6	 0.01	01 23 37.5	+34 14 45	 6.28	 56.66	 0.97	 0.03	 3.75	 0.14	  2.35	  0.33	 1.62	 3.50	 0.03	 2.3	  1	Simbad
2474	HTR294-009    	6044	 4.05	-0.22	  0.17	-4.94	 8.5	 6.2	 5.0	   8.9	236	 0.01	 0.01	 1	-0.23	20 56 20.4	+24 46 54	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2475	HTR294-003    	6132	 4.40	 0.04	  0.17	-4.92	 6.3	 2.6	 5.6	   2.1	 90	 0.02	 0.02	 2	 0.04	21 01 10.3	+22 15 20	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2476	HD 8467       	5273	 4.54	-0.17	  0.25	-4.72	 2.5	 1.1	 2.1	  14.8	256	 0.01	 0.01	 1	-0.17	01 24 28.0	+39 03 43	 8.39	 31.84	-0.38	 0.03	 0.77	 0.03	  0.76	  0.11	 0.83	 4.57	 0.03	 5.6	  1	Simbad
2477	HD 8508       	4777	 2.82	-0.06	  0.13	-5.29	 5.8	 4.0	 4.0	   7.8	266	 0.01	 0.02	 1	-0.06	01 24 42.9	+36 03 50	 7.86	178.25	 1.40	 0.10	 7.29	 0.88	  1.27	  0.34	 1.23	 2.82	 0.09	 5.0	  1	Simbad
2478	HD 8553       	5053	 4.48	-0.02	  0.18	-5.03	 2.9	 2.1	 1.9	   7.4	384	 0.01	 0.01	 1	-0.02	01 24 53.9	+18 30 00	 8.49	 31.84	-0.39	 0.03	 0.83	 0.03	  0.75	  0.11	 0.80	 4.54	 0.03	11.8	  1	Simbad
2479	HD 8594       	4799	 3.07	 0.09	  0.11	-5.35	 3.8	 1.6	 3.4	  -4.5	272	 0.01	 0.02	 1	 0.14	01 25 41.6	+44 47 12	 7.25	 97.18	 1.11	 0.06	 5.20	 0.36	  1.15	  0.21	 1.23	 3.09	 0.07	 5.5	  1	Simbad
2480	HTR248-002    	5248	 4.47	 0.03	  0.16	-4.96	 2.5	 1.0	 2.1	  20.9	217	 0.01	 0.01	 2	 0.02	21 38 08.7	+30 29 19	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2481	HD 8828       	5376	 4.48	-0.15	  0.17	-5.00	 2.2	 0.1	 2.3	  13.8	252	 0.01	 0.01	 1	-0.16	01 27 01.5	-00 09 27	 7.96	 29.35	-0.29	 0.03	 0.83	 0.03	  0.75	  0.11	 0.87	 4.54	 0.04	 6.0	  1	Simbad
2482	EPIC206024342 	5542	 4.45	-0.34	  0.13	-5.20	 3.3	 1.6	 2.7	  50.4	 24	 0.05	 0.06	 1	-0.36	22 05 05.7	-14 07 21	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2483	EPIC206036749 	5435	 4.29	 0.28	  0.17	-5.00	 3.4	 2.2	 2.5	  21.7	 25	 0.05	 0.05	 1	 0.31	22 09 53.2	-13 46 40	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2484	EPIC206101302 	5854	 4.29	-0.08	  0.15	-5.05	 4.0	 1.0	 3.9	 -12.6	 50	 0.02	 0.02	 1	-0.07	22 13 42.0	-12 03 51	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2485	EPIC206026904 	5078	 4.54	 0.20	  0.31	-4.69	 2.6	 1.7	 1.9	   4.3	 54	 0.02	 0.03	 1	 0.25	22 15 17.2	-14 03 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2486	EPIC205944181 	5187	 4.48	 0.00	  0.17	     	 2.2	 0.4	 2.0	 -33.7	 51	 0.02	 0.03	 1	-0.05	22 15 42.0	-16 33 49	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2487	HTR159-015    	5992	 4.31	-0.14	  0.16	-4.95	 6.5	 4.2	 4.6	 -21.8	136	 0.01	 0.01	 1	-0.12	22 20 59.1	+44 58 28	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2488	HTR159-019    	6069	 3.97	 0.18	  0.15	-5.07	 8.9	 6.2	 5.9	 -27.2	166	 0.01	 0.01	 1	 0.23	22 22 04.4	+45 27 33	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2489	EPIC206439513 	6290	 3.82	-0.17	  0.11	-5.68	 6.4	 0.1	 8.2	 -26.7	 48	 0.02	 0.03	 1	-0.15	22 31 24.8	-05 58 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2490	HD 9218       	4809	 3.02	-0.03	  0.12	-5.33	 3.9	 1.8	 3.4	  11.5	268	 0.01	 0.02	 4	-0.01	01 30 13.9	-28 51 56	 7.96	148.37	 1.19	 0.09	 5.69	 0.57	  1.23	  0.29	 1.15	 3.00	 0.08	 6.4	  1	Simbad
2491	EPIC206181769 	5096	 4.50	 0.09	  0.31	-4.70	 2.6	 1.7	 1.9	 -39.8	 46	 0.03	 0.03	 1	 0.12	22 33 53.6	-10 05 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2492	HD 9156       	4972	 2.90	 0.01	  0.12	-5.28	 5.0	 2.9	 4.0	  28.2	265	 0.01	 0.02	 1	 0.08	01 30 18.7	+11 05 27	 8.42	248.14	 1.43	 0.21	 6.96	 1.65	  1.40	  0.68	 1.83	 3.08	 0.15	 1.6	  1	Simbad
2493	EPIC206348688 	5921	 4.12	 0.15	  0.13	-5.28	 6.4	 4.5	 4.2	   2.1	 50	 0.02	 0.02	 1	 0.16	22 35 22.8	-07 28 11	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2494	EPIC206044803 	5748	 4.38	 0.04	  0.13	-5.20	 3.8	 1.6	 3.4	  -7.8	 43	 0.03	 0.03	 1	 0.03	22 38 41.6	-13 33 37	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2495	EPIC206268299 	5990	 4.34	-0.24	  0.13	-5.24	 5.5	 2.8	 4.6	  23.1	 45	 0.03	 0.03	 1	-0.24	22 39 40.3	-08 42 49	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2496	HTR160-016    	6439	 4.08	 0.04	  0.20	-4.74	20.9	16.1	 9.1	 -39.5	166	 0.01	 0.01	 1	 0.11	22 45 09.5	+42 01 13	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2497	EPIC206011496 	5429	 4.48	 0.05	  0.19	     	 3.0	 1.7	 2.4	 -19.8	 88	 0.01	 0.02	 1	 0.05	22 48 07.6	-14 29 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2498	EPIC206154641 	5991	 4.24	 0.16	  0.15	-5.06	 6.3	 4.0	 4.6	   0.6	 49	 0.02	 0.02	 1	 0.19	22 49 32.6	-10 40 32	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2499	HTR205-22     	6067	 4.12	 0.13	  0.15	     	 8.8	 6.6	 5.1	  -3.0	261	 0.01	 0.01	 1	 0.16	22 57 46.6	+38 40 12	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2500	HTR205-23     	5964	 4.32	 0.15	  0.16	     	 5.3	 2.8	 4.4	  -2.3	244	 0.01	 0.01	 1	 0.16	22 57 47.6	+38 40 14	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2501	HD 9313       	4919	 3.43	 0.06	  0.16	-5.12	 3.8	 1.6	 3.4	 -30.6	263	 0.01	 0.02	 1	 0.08	01 31 54.9	+16 02 49	 7.82	110.74	 0.98	 0.07	 4.24	 0.37	  1.77	  0.37	 1.34	 3.31	 0.07	 4.0	  1	Simbad
2502	HATS586-004   	5559	 4.37	 0.15	  0.13	-5.23	 3.8	 2.5	 2.8	  12.0	 29	 0.04	 0.04	 1	 0.15	23 04 18.0	-21 16 17	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2503	HTR161-015    	5689	 4.40	 0.16	  0.17	-4.94	 3.7	 1.7	 3.2	 -33.6	 89	 0.02	 0.02	 1	 0.16	23 14 39.1	+41 48 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2504	HD 9554       	4839	 2.81	-0.09	  0.11	-5.32	 5.4	 3.5	 4.0	 -18.8	262	 0.01	 0.02	 1	-0.08	01 33 15.9	-25 40 02	 8.34	185.87	 1.23	 0.13	 5.86	 0.87	  0.81	  0.26	 1.15	 2.98	 0.10	 6.1	  1	Simbad
2505	HD 9446       	5779	 4.49	 0.08	  0.21	-4.77	 4.9	 3.2	 3.5	  20.6	202	 0.01	 0.01	 2	 0.10	01 33 20.2	+29 15 55	 8.35	 52.36	 0.02	 0.05	 1.03	 0.06	  1.17	  0.20	 1.06	 4.44	 0.04	 2.7	  0	Simbad
2506	HTR161-014    	6087	 4.39	-0.15	  0.06	     	 4.9	 0.4	 5.3	  23.8	 92	 0.01	 0.02	 2	-0.19	23 31 10.4	+42 42 39	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2507	HD 9625       	4945	 2.89	 0.08	  0.12	-5.32	 4.6	 2.2	 4.0	 -28.8	261	 0.01	 0.02	 1	 0.15	01 34 16.3	-06 16 21	 8.38	319.49	 1.67	 0.30	 9.27	 3.18	  2.45	  1.70	 2.04	 2.99	 0.19	 1.3	  1	Simbad
2508	WASP-234318   	5066	 4.48	 0.22	  0.36	-4.63	 2.8	 2.0	 1.9	 -15.7	169	 0.01	 0.02	 1	 0.26	23 43 18.7	+29 56 06	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2509	HD 9518 A     	6152	 3.94	 0.11	  0.15	-5.03	10.9	 7.8	 6.6	 -18.3	237	 0.01	 0.01	 1	 0.17	01 35 01.5	+60 46 45	     	      	     	     	     	     	      	      	     	     	     	    	  1	Simbad
2510	HTR056-003    	6081	 4.42	-0.10	  0.18	-4.86	 6.1	 2.9	 5.2	 -11.6	115	 0.01	 0.02	 1	-0.11	23 54 23.2	+56 26 15	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2511	WASP18        	6226	 4.17	 0.09	  0.12	     	14.1	11.0	 6.5	   3.1	152	 0.01	 0.01	 2	 0.14	01 37 25.0	-45 40 40	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2512	HD 10011      	5025	 3.28	-0.09	  0.14	-5.13	 4.0	 1.8	 3.4	  47.0	254	 0.01	 0.01	 1	-0.06	01 37 26.1	-15 59 52	 7.99	130.21	 1.03	 0.10	 4.32	 0.51	  1.28	  0.34	 1.50	 3.35	 0.09	 2.7	  1	Simbad
2513	HD 10008      	5291	 4.53	-0.05	  0.43	-4.44	 3.1	 2.1	 2.2	  11.2	251	 0.01	 0.01	 1	 0.00	01 37 35.5	-06 45 38	 7.66	 23.95	-0.34	 0.03	 0.81	 0.03	  0.80	  0.11	 0.88	 4.56	 0.03	 4.4	  1	Simbad
2514	HD 10015      	5270	 4.38	 0.24	  0.19	-4.95	 2.7	 1.4	 2.1	   2.7	361	 0.01	 0.01	 1	 0.26	01 38 24.1	+29 34 00	 8.65	 35.87	-0.38	 0.05	 0.77	 0.04	  0.52	  0.09	 0.93	 4.56	 0.03	 2.7	  1	Simbad
2515	HD 10013      	5467	 4.43	 0.05	  0.19	-4.89	 3.0	 1.4	 2.5	 -61.3	345	 0.01	 0.01	 1	 0.06	01 39 42.2	+65 09 38	 8.53	 43.99	-0.18	 0.04	 0.91	 0.05	  0.81	  0.13	 0.95	 4.49	 0.04	 5.0	  1	Simbad
2516	HIP 7830      	5101	 4.50	 0.02	  0.50	-4.48	 3.4	 2.7	 1.9	   9.5	263	 0.01	 0.01	 1	 0.08	01 40 44.2	+15 37 10	 8.92	 41.49	-0.34	 0.04	 0.87	 0.04	  0.86	  0.13	 0.83	 4.51	 0.03	11.3	  1	Simbad
2517	HD 10212      	4907	 3.14	-0.05	  0.14	-5.21	 4.1	 2.1	 3.4	 -16.9	260	 0.01	 0.01	 1	-0.03	01 40 49.7	+45 01 08	 8.13	129.87	 0.99	 0.10	 4.34	 0.51	  0.94	  0.25	 1.18	 3.23	 0.10	 5.9	  1	Simbad
2518	HD 10383      	4865	 3.21	 0.26	  0.12	-5.32	 3.7	 1.5	 3.4	  19.6	267	 0.01	 0.02	 1	 0.29	01 41 09.0	-09 58 07	 8.27	170.65	 1.18	 0.13	 5.49	 0.80	  1.79	  0.56	 1.61	 3.19	 0.10	 2.4	  1	Simbad
2519	HD 10307      	5870	 4.33	 0.05	  0.14	-5.17	 4.6	 2.2	 3.9	   0.2	199	 0.01	 0.01	 1	 0.05	01 41 47.1	+42 36 48	 4.96	 12.74	 0.15	 0.02	 1.15	 0.03	  1.02	  0.14	 1.08	 4.35	 0.03	 4.3	  0	Simbad
2520	HD 10442      	4912	 3.19	 0.06	  0.14	-5.18	 3.8	 1.6	 3.4	   9.3	260	 0.01	 0.02	 2	 0.09	01 41 53.1	+02 42 16	 7.84	 51.81	 0.31	 0.35	 1.97	 0.79	  0.22	  0.18	 1.01	 3.66	 0.16	10.7	  1	Simbad
2521	HD 10479      	4906	 2.76	-0.11	  0.12	-5.26	 4.6	 2.2	 4.0	   0.9	257	 0.01	 0.02	 1	-0.05	01 42 03.4	-04 56 40	 8.78	278.55	 1.39	 0.26	 6.88	 2.04	  0.99	  0.60	 1.33	 3.01	 0.17	 3.7	  1	Simbad
2522	HD 10823      	5097	 3.44	-0.12	  0.27	-4.74	 3.9	 1.6	 3.5	  24.7	252	 0.01	 0.01	 1	-0.10	01 45 57.7	-04 13 43	 8.08	132.45	 1.00	 0.09	 4.06	 0.42	  1.64	  0.39	 1.46	 3.40	 0.08	 2.8	  1	Simbad
2523	HD 10909      	4748	 3.19	-0.22	  0.99	-4.22	 5.6	 4.4	 3.4	  13.8	262	 0.01	 0.02	 1	-0.23	01 46 41.6	-24 00 50	 8.10	134.95	 1.07	 0.10	 5.04	 0.61	  1.44	  0.39	 0.96	 2.95	 0.10	12.1	  1	Simbad
2524	HD 10995      	5688	 3.67	 0.06	  0.16	-5.01	 6.8	 4.9	 4.2	  14.0	250	 0.01	 0.01	 2	 0.10	01 48 20.8	+17 01 22	 7.35	 81.50	 0.81	 0.05	 2.62	 0.15	  1.17	  0.20	 1.41	 3.75	 0.04	 3.6	  1	Simbad
2525	HD 11131      	5845	 4.53	-0.05	  0.30	-4.51	 4.4	 2.1	 3.8	  -4.7	390	 0.01	 0.01	 1	-0.02	01 49 23.4	-10 42 13	 6.72	 22.56	-0.06	 0.06	 0.91	 0.07	  1.02	  0.19	 1.03	 4.48	 0.04	 1.9	  1	Simbad
2526	HD 10790      	5339	 4.28	 0.28	  0.17	-5.01	 3.3	 2.4	 2.3	 -27.9	379	 0.01	 0.01	 1	 0.30	01 49 56.6	+76 59 32	 8.07	 37.98	-0.11	 0.05	 1.03	 0.06	  0.74	  0.12	 0.93	 4.40	 0.05	 9.9	  1	Simbad
2527	HD 11288      	5199	 3.45	 0.08	  0.40	-4.55	 6.8	 5.5	 3.5	  11.1	255	 0.01	 0.01	 1	 0.16	01 50 20.3	-23 46 19	 8.44	181.16	 1.11	 0.19	 4.44	 1.00	  2.01	  0.93	 1.70	 3.45	 0.14	 2.0	  1	Simbad
2528	HD 11506      	6030	 4.28	 0.31	  0.16	-4.98	 7.2	 4.9	 4.9	  -3.0	240	 0.01	 0.01	 2	 0.33	01 52 50.5	-19 30 25	 7.51	 51.71	 0.33	 0.03	 1.34	 0.05	  1.23	  0.18	 1.24	 4.30	 0.04	 2.3	  1	Simbad
2529	HD 11373      	4756	 4.46	 0.02	  0.70	-4.47	 2.8	 2.1	 1.6	 -28.9	259	 0.02	 0.02	 2	 0.10	01 54 06.1	+66 10 34	 8.47	 22.53	-0.62	 0.03	 0.72	 0.03	  0.54	  0.08	 0.76	 4.62	 0.03	 8.6	  1	Simbad
2530	BD+37 412     	4927	 2.89	 0.09	  0.16	-5.10	 4.9	 2.8	 4.0	 -15.3	 96	 0.02	 0.02	 2	 0.19	01 55 39.4	+37 52 52	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2531	BD+36 350     	4934	 2.90	 0.08	  0.17	-5.07	 4.5	 2.0	 4.0	 -16.6	 95	 0.02	 0.02	 2	 0.17	01 55 42.4	+37 37 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2532	BD+37 424     	4915	 2.86	 0.08	  0.17	-5.08	 4.8	 2.7	 4.0	 -15.4	126	 0.01	 0.04	 2	 0.18	01 57 03.1	+38 08 03	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2533	HD 12039      	5777	 4.48	-0.02	  0.46	-4.27	18.9	15.9	 3.5	   7.3	246	 0.01	 0.02	 1	 0.06	01 57 49.0	-21 54 05	 8.07	 40.90	-0.08	 0.03	 0.91	 0.04	  0.92	  0.13	 1.03	 4.49	 0.02	 1.3	  1	Simbad
2534	HD 11970      	5084	 3.44	-0.22	  0.15	-5.10	 3.9	 1.5	 3.5	 -16.7	251	 0.01	 0.01	 1	-0.21	01 58 24.3	+40 54 49	 8.23	129.70	 0.93	 0.11	 3.74	 0.48	  1.39	  0.39	 1.24	 3.41	 0.09	 4.4	  1	Simbad
2535	BD+37 441     	5048	 3.08	 0.07	  0.14	-5.18	 4.7	 3.2	 3.5	 -16.0	 72	 0.02	 0.02	 1	 0.15	01 58 29.8	+37 51 38	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2536	HD 12164      	5392	 3.48	-0.09	  0.15	-5.10	 4.4	 2.2	 3.7	 -19.9	246	 0.01	 0.01	 1	-0.07	01 59 46.6	+15 57 28	 8.03	133.69	 0.99	 0.10	 3.60	 0.44	  1.42	  0.38	 1.58	 3.54	 0.08	 2.3	  1	Simbad
2537	HD 12137      	4929	 3.13	 0.09	  0.13	-5.22	 4.2	 2.3	 3.4	 -13.8	262	 0.01	 0.02	 1	 0.14	02 00 21.5	+44 06 10	 7.66	137.17	 1.22	 0.09	 5.61	 0.58	  1.54	  0.37	 1.64	 3.16	 0.08	 2.2	  1	Simbad
2538	HD 12484      	5835	 4.50	 0.09	  0.42	-4.32	10.2	 8.6	 3.8	   3.6	383	 0.01	 0.02	 1	 0.14	02 02 26.7	+02 48 57	 8.18	 50.99	 0.07	 0.05	 1.05	 0.06	  1.28	  0.21	 1.09	 4.43	 0.04	 2.3	  1	Simbad
2539	HD 12974      	4856	 3.06	 0.04	  0.21	-5.03	 3.9	 1.8	 3.4	  -6.0	270	 0.01	 0.02	 1	 0.10	02 06 56.1	-01 49 25	 7.49	130.04	 1.26	 0.09	 6.01	 0.63	  1.51	  0.36	 1.45	 3.05	 0.08	 3.1	  1	Simbad
2540	HD 13167      	5671	 3.72	 0.19	  0.14	-5.12	 5.3	 3.2	 4.2	  15.0	244	 0.01	 0.01	 1	 0.23	02 08 13.8	-24 41 43	 8.34	116.96	 0.73	 0.12	 2.39	 0.35	  1.10	  0.34	 1.35	 3.82	 0.09	 4.3	  1	Simbad
2541	HD 13382      	5786	 4.49	 0.17	  0.32	-4.49	 4.6	 2.8	 3.5	  20.0	307	 0.01	 0.01	 1	 0.20	02 11 23.1	+21 22 38	 7.33	 31.15	-0.02	 0.03	 0.97	 0.04	  1.07	  0.15	 1.08	 4.47	 0.02	 1.3	  1	Simbad
2542	HD 13483      	5307	 4.54	-0.17	  0.28	-4.66	 3.4	 2.5	 2.2	 -12.7	371	 0.01	 0.01	 1	-0.15	02 12 18.0	+21 58 58	 8.46	 31.67	-0.42	 0.04	 0.73	 0.03	  0.67	  0.10	 0.84	 4.59	 0.03	 3.4	  1	Simbad
2543	HIP 10416     	4741	 4.50	 0.08	  0.71	-4.53	 2.9	 2.3	 1.6	  -9.2	216	 0.02	 0.02	 1	 0.17	02 14 13.6	-03 38 07	 8.55	 22.72	-0.65	 0.03	 0.70	 0.03	  0.57	  0.08	 0.78	 4.62	 0.03	 6.4	  1	Simbad
2544	HD 13747      	4910	 3.20	 0.08	  0.13	-5.25	 3.6	 0.9	 3.4	  18.2	268	 0.01	 0.02	 1	 0.12	02 14 38.0	+28 41 28	 6.35	 64.23	 1.09	 0.03	 4.86	 0.21	  1.34	  0.20	 1.46	 3.22	 0.05	 3.1	  1	Simbad
2545	HD 13836      	5592	 4.50	 0.05	  0.31	-4.54	 3.5	 2.0	 2.9	  -0.8	364	 0.01	 0.01	 1	 0.08	02 15 27.3	+27 21 26	 8.12	 39.94	-0.11	 0.03	 0.94	 0.04	  1.01	  0.14	 0.99	 4.48	 0.04	 3.6	  1	Simbad
2546	HD 13871      	6416	 4.03	 0.20	  0.15	-5.06	12.4	 8.0	 8.7	  24.8	252	 0.01	 0.02	 3	 0.26	02 15 46.1	+25 46 59	 5.79	 42.11	 0.82	 0.02	 2.09	 0.06	  1.69	  0.23	 1.57	 3.98	 0.02	 1.8	  1	Simbad
2547	HD 14214      	6004	 4.14	 0.18	  0.13	-5.21	 5.0	 1.5	 4.7	  16.2	259	 0.01	 0.02	 1	 0.19	02 18 01.4	+01 45 28	 5.60	 24.35	 0.44	 0.02	 1.54	 0.05	  1.19	  0.16	 1.25	 4.15	 0.03	 3.5	  0	Simbad
2548	HD 14655      	5754	 3.92	 0.10	  0.15	-5.06	 6.1	 3.9	 4.4	   1.2	310	 0.01	 0.01	 1	 0.12	02 21 38.6	-15 46 05	 8.13	103.95	 0.71	 0.10	 2.27	 0.26	  1.55	  0.40	 1.31	 3.85	 0.07	 4.4	  1	Simbad
2549	HIP 11000     	4709	 4.47	 0.10	  0.75	-4.54	 3.2	 2.8	 1.6	  28.7	177	 0.02	 0.03	 1	 0.21	02 21 44.4	-06 52 46	 9.07	 26.32	-0.72	 0.03	 0.66	 0.03	  0.46	  0.07	 0.76	 4.65	 0.02	 5.0	  1	Simbad
2550	HD 14651      	5468	 4.46	-0.04	  0.17	-4.97	 3.3	 1.9	 2.5	  52.1	368	 0.01	 0.01	 1	-0.04	02 22 00.9	+04 44 48	 8.26	 40.57	-0.14	 0.04	 0.95	 0.04	  0.95	  0.15	 0.90	 4.45	 0.05	 8.7	  1	Simbad
2551	HD 14787      	4946	 3.23	-0.01	  0.14	-5.18	 3.7	 1.4	 3.4	  -9.6	262	 0.01	 0.01	 1	 0.02	02 23 14.1	+10 50 12	 7.63	122.10	 1.13	 0.12	 5.01	 0.69	  1.56	  0.47	 1.43	 3.21	 0.10	 3.1	  1	Simbad
2552	HD 14855      	5023	 3.43	-0.01	  0.12	-5.26	 3.6	 0.5	 3.4	 -24.8	263	 0.01	 0.01	 1	 0.02	02 25 03.7	+45 38 50	 7.42	 85.98	 0.90	 0.06	 3.72	 0.25	  1.35	  0.24	 1.38	 3.44	 0.06	 3.5	  1	Simbad
2553	HD 15336      	5025	 3.12	-0.19	  0.15	-5.11	 4.8	 3.1	 3.4	 -31.9	249	 0.01	 0.02	 1	-0.17	02 27 44.9	-11 58 44	 8.91	197.63	 1.03	 0.25	 4.29	 1.22	  0.89	  0.52	 1.22	 3.37	 0.19	 5.0	  1	Simbad
2554	HD 15391      	4869	 2.85	-0.31	  0.14	-5.19	 4.1	 0.7	 4.0	  27.6	254	 0.01	 0.02	 1	-0.30	02 28 19.1	-11 42 59	 8.65	271.00	 1.43	 0.23	 7.27	 1.92	  1.35	  0.73	 1.07	 2.79	 0.14	 7.1	  1	Simbad
2555	HD 15928      	5306	 3.63	-0.23	  0.19	-4.91	 4.1	 1.7	 3.6	  10.0	247	 0.01	 0.01	 1	-0.22	02 33 15.4	-14 21 46	 7.83	101.21	 0.84	 0.07	 3.12	 0.27	  1.52	  0.32	 1.36	 3.60	 0.06	 3.3	  1	Simbad
